index,title,author,pages,genre,description,published_date,publisher,average_rating,ratings_count,thumbnail
1256,The Hobbit,J.R.R. Tolkien,356.0,Children,inilah kisah tentang seorang baggins yang pergi berpetualang dan mendapati dirinya melakukan dan mengucapkan halhal yang tak disangkasangka bilbo baggins adalah hobbit yang suka hidup nyaman tidak ambisius jarang bepergian jauh selain ke gudang makanan di lubang hobbitnya di bag end tetapi hidup nyamannya terganggu ketika gandalf si penyihir dan 13 kurcaci mendatanginya suatu hari untuk mengajaknya menempuh suatu perjalanan ke sana dan pulang kembali mereka berencana untuk mengambil,2017-10-27 00:00:00,gramedia pustaka utama,4.279120879120879,0,http://books.google.com/books/content?id=T-y1EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
1257,The Hobbit Trap,"Maciej Henneberg, Robert B Eckhardt, John Schofield",228.0,Science,this lively and provocative book refutes the claim that the hobbit is a new species and makes a forceful critique of the cultural and political pressures that lead to the wide acceptance of unsupported theories in science,2016-06-03 00:00:00,routledge,,0,http://books.google.com/books/content?id=aKpJDAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
1258,"J. R. R. Tolkien's ""The Hobbit""",Robert T. Tally Jr.,116.0,Literature,this book is a critical introduction to jrr tolkiens the hobbit but it also advances an argument about the novel in the context of tolkiens larger literary and philosophical project notwithstanding its canonical place in the fantasy genre the hobbit is ultimately a historical novel it does not refer directly to any real historical events but it both enacts and conceptualizes history in a way that makes it real drawing on marxist literary criticism and narrative theory this book exa,2022-09-19 00:00:00,springer,5.0,0,http://books.google.com/books/content?id=WjeKEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
1259,The Hobbit and History,"Nancy R. Reagin, Janice Liedl",202.0,History,what do gandalf and merlin have in common besides robes and magical staffs where do hobbits get their recipes riddles and love of rambling what other rings of power were circulating in medieval europe how did thorin violate the rules of medieval kingship youll find the answers and more in this book which explores the magic and creativity behind jrr tolkiens bestselling story from a historical perspective tolkien was a professor of medieval languages and literature at oxford univers,2014-11-04 00:00:00,turner publishing company,,0,http://books.google.com/books/content?id=vo7uEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
1260,The Hobbit and Philosophy,"Gregory Bassham, Eric Bronson",278.0,Religion & Philosophy,a philosophical exploration of jrr tolkiens beloved classicjust in time for the december 2012 release of peter jacksons new film adaptation the hobbit an unexpected journey jrr tolkiens the hobbit is one of the bestloved fantasy books of all time and the enchanting prequel to the lord of the rings with the help of some of historys great philosophers this book ponders a host of deep questions raised in this timeless tale such as are adventures simply nasty disturbing uncomf,2012-09-18 00:00:00,john wiley and sons,,0,http://books.google.com/books/content?id=h2gpEAXIyaYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
1261,A Guide for Using The Hobbit in the Classroom,"John Carratello, Patty Carratello",50.0,Education,teaching literature unit based on the popular childrens story the hobbit,1992-01-01 00:00:00,teacher created resources,,0,http://books.google.com/books/content?id=XiRea3tWUK0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
1262,CliffsNotes on Tolkien's The Lord of the Rings & The Hobbit,Gene B Hardy,49.0,Literature,join the journey through middleearth in the study guide of these two epic fantasies suggestive of life in medieval days a classical battle between good and evil and the quest for a magical ring this guide covers all four volumes of this unforgettable fantasy,2007-08-20 00:00:00,houghton mifflin harcourt,,0,http://books.google.com/books/content?id=7t42EWzym-sC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
1263,Exploring J.R.R. Tolkien's The Hobbit,Corey Olsen,333.0,Fiction,an insightful companion volume to the original classic designed to bring a thorough and unique new reading of the hobbit to a general audience written by the host of the popular podcast the tolkien professoro,2012-01-01 00:00:00,houghton mifflin harcourt,4.0,1,http://books.google.com/books/content?id=KY0BDObXftUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
1264,The Hobbit Party,"Jonathan Witt, Jay Richards",234.0,Religion & Philosophy,anyone who has read the hobbit and the lord of the rings can gather that their author hated tyranny but few know that the novelist who once described himself as a hobbit in all but size waseven by hobbit standardsa zealous proponent of economic freedom and small government there is a growing concern among many that the west is sliding into political economic and moral bankruptcy in his beloved novels of middleearth jrr tolkien has drawn us a map to freedom scholar joseph pearce w,2014-08-12 00:00:00,ignatius press,,0,http://books.google.com/books/content?id=cYxHDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
1265,The Science of Dune,Kevin R. Grazier,248.0,Social Science,get excited for the 2021 denis villeneuve dune film release starring timothe chalamet with the science of dune since its original publication in 1965 the dune series has entranced generations of readers with its complex plotting fascinating characters grand scope and incredible scientific predictions this guide offers fascinating scientific speculation on topics including quantum physics biochemistry ecology evolution psychology technology and genetics it scrutinizes frank herber,2007-12-11 00:00:00,benbella books inc,,0,http://books.google.com/books/content?id=4kbYExSCa6oC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
